company,plan_details1,plan_details2,contract_details1,contract_details2,rates,total_rate
ATCOenergy,1-Year ATCO Advantage Plan (Electricity),Variable Rate Plan,1-year contract,Early Exit Fee: No,3.960,7.512380149615425
ATCOenergy,2-Year ATCO Advantage Plan (Electricity),Variable Rate Plan,2-year contract,Early Exit Fee: No,3.960,7.512380149615425
ATCOenergy,3-Year ATCO Advantage Plan (Electricity),Variable Rate Plan,3-year contract,Early Exit Fee: No,3.960,7.512380149615425
Wholesale Power,Variable Wholesale Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,4.525,6.752533383843167
E.NRG Power Ltd.,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,4.745,6.604297888106706
UTILITYNet,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,4.790,6.5750645518258946
Brighter Futures Energy Inc.,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,4.795,6.544286369894447
Bow Valley Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,4.995,6.366639878560586
Get Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.060,6.34623943035158
Foothills Energy Co-op,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.279172170849846
Sandstone Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Vector Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Ambit Energy Canada,Alberta Select 12-Month Term,Fixed Rate Plan,1-year contract,Early Exit Fee: Yes,5.690,6.2708883025505715
Spot Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.249452186870014
Echo Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.2461673236968895
Solarmax Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.243432574430823
Alberta Utility Source,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.185,6.234697446659672
Adagio Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.231972729656499
Fluent Utilities,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.189236111111111
Camrose Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.295,6.17583369423993
Sandstone Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Vector Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Ambit Energy Canada,Alberta Select 12-Month Term,Fixed Rate Plan,1-year contract,Early Exit Fee: Yes,5.690,6.2708883025505715
Spot Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.249452186870014
Echo Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.2461673236968895
Solarmax Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.243432574430823
Alberta Utility Source,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.185,6.234697446659672
Adagio Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.231972729656499
Fluent Utilities,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.189236111111111
Camrose Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.295,6.17583369423993
Sandstone Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Vector Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Ambit Energy Canada,Alberta Select 12-Month Term,Fixed Rate Plan,1-year contract,Early Exit Fee: Yes,5.690,6.2708883025505715
Spot Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.249452186870014
Echo Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.2461673236968895
Solarmax Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.243432574430823
Alberta Utility Source,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.185,6.234697446659672
Adagio Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.231972729656499
Fluent Utilities,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.189236111111111
Camrose Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.295,6.17583369423993
Sandstone Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Vector Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Ambit Energy Canada,Alberta Select 12-Month Term,Fixed Rate Plan,1-year contract,Early Exit Fee: Yes,5.690,6.2708883025505715
Spot Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.249452186870014
Echo Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.2461673236968895
Solarmax Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.243432574430823
Alberta Utility Source,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.185,6.234697446659672
Adagio Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.231972729656499
Fluent Utilities,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.189236111111111
Camrose Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.295,6.17583369423993
Sandstone Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Vector Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Ambit Energy Canada,Alberta Select 12-Month Term,Fixed Rate Plan,1-year contract,Early Exit Fee: Yes,5.690,6.2708883025505715
Spot Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.249452186870014
Echo Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.2461673236968895
Solarmax Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.243432574430823
Alberta Utility Source,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.185,6.234697446659672
Adagio Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.231972729656499
Fluent Utilities,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.189236111111111
Camrose Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.295,6.17583369423993
Sandstone Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Vector Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Ambit Energy Canada,Alberta Select 12-Month Term,Fixed Rate Plan,1-year contract,Early Exit Fee: Yes,5.690,6.2708883025505715
Spot Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.249452186870014
Echo Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.2461673236968895
Solarmax Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.243432574430823
Alberta Utility Source,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.185,6.234697446659672
Adagio Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.231972729656499
Fluent Utilities,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.189236111111111
Camrose Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.295,6.17583369423993
Sandstone Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Vector Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Ambit Energy Canada,Alberta Select 12-Month Term,Fixed Rate Plan,1-year contract,Early Exit Fee: Yes,5.690,6.2708883025505715
Spot Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.249452186870014
Echo Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.2461673236968895
Solarmax Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.243432574430823
Alberta Utility Source,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.185,6.234697446659672
Adagio Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.231972729656499
Fluent Utilities,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.189236111111111
Camrose Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.295,6.17583369423993
Sandstone Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Vector Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Ambit Energy Canada,Alberta Select 12-Month Term,Fixed Rate Plan,1-year contract,Early Exit Fee: Yes,5.690,6.2708883025505715
Spot Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.249452186870014
Echo Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.2461673236968895
Solarmax Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.243432574430823
Alberta Utility Source,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.185,6.234697446659672
Adagio Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.231972729656499
Fluent Utilities,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.189236111111111
Camrose Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.295,6.17583369423993
Sandstone Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Vector Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Ambit Energy Canada,Alberta Select 12-Month Term,Fixed Rate Plan,1-year contract,Early Exit Fee: Yes,5.690,6.2708883025505715
Spot Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.249452186870014
Echo Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.2461673236968895
Solarmax Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.243432574430823
Alberta Utility Source,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.185,6.234697446659672
Adagio Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.231972729656499
Fluent Utilities,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.189236111111111
Camrose Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.295,6.17583369423993
Sandstone Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Vector Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Ambit Energy Canada,Alberta Select 12-Month Term,Fixed Rate Plan,1-year contract,Early Exit Fee: Yes,5.690,6.2708883025505715
Spot Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.249452186870014
Echo Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.2461673236968895
Solarmax Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.243432574430823
Alberta Utility Source,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.185,6.234697446659672
Adagio Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.231972729656499
Fluent Utilities,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.189236111111111
Camrose Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.295,6.17583369423993
Sandstone Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Vector Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Ambit Energy Canada,Alberta Select 12-Month Term,Fixed Rate Plan,1-year contract,Early Exit Fee: Yes,5.690,6.2708883025505715
Spot Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.249452186870014
Echo Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.2461673236968895
Solarmax Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.243432574430823
Alberta Utility Source,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.185,6.234697446659672
Adagio Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.231972729656499
Fluent Utilities,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.189236111111111
Camrose Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.295,6.17583369423993
Sandstone Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Vector Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Ambit Energy Canada,Alberta Select 12-Month Term,Fixed Rate Plan,1-year contract,Early Exit Fee: Yes,5.690,6.2708883025505715
Spot Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.249452186870014
Echo Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.2461673236968895
Solarmax Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.243432574430823
Alberta Utility Source,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.185,6.234697446659672
Adagio Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.231972729656499
Fluent Utilities,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.189236111111111
Camrose Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.295,6.17583369423993
Sandstone Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Vector Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Ambit Energy Canada,Alberta Select 12-Month Term,Fixed Rate Plan,1-year contract,Early Exit Fee: Yes,5.690,6.2708883025505715
Spot Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.249452186870014
Echo Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.2461673236968895
Solarmax Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.243432574430823
Alberta Utility Source,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.185,6.234697446659672
Adagio Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.231972729656499
Fluent Utilities,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.189236111111111
Camrose Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.295,6.17583369423993
Sandstone Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Vector Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Ambit Energy Canada,Alberta Select 12-Month Term,Fixed Rate Plan,1-year contract,Early Exit Fee: Yes,5.690,6.2708883025505715
Spot Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.249452186870014
Echo Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.2461673236968895
Solarmax Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.243432574430823
Alberta Utility Source,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.185,6.234697446659672
Adagio Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.231972729656499
Fluent Utilities,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.189236111111111
Camrose Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.295,6.17583369423993
Sandstone Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Vector Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Ambit Energy Canada,Alberta Select 12-Month Term,Fixed Rate Plan,1-year contract,Early Exit Fee: Yes,5.690,6.2708883025505715
Spot Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.249452186870014
Echo Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.2461673236968895
Solarmax Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.243432574430823
Alberta Utility Source,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.185,6.234697446659672
Adagio Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.231972729656499
Fluent Utilities,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.189236111111111
Camrose Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.295,6.17583369423993
Sandstone Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Vector Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Ambit Energy Canada,Alberta Select 12-Month Term,Fixed Rate Plan,1-year contract,Early Exit Fee: Yes,5.690,6.2708883025505715
Spot Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.249452186870014
Echo Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.2461673236968895
Solarmax Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.243432574430823
Alberta Utility Source,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.185,6.234697446659672
Adagio Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.231972729656499
Fluent Utilities,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.189236111111111
Camrose Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.295,6.17583369423993
Sandstone Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Vector Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Ambit Energy Canada,Alberta Select 12-Month Term,Fixed Rate Plan,1-year contract,Early Exit Fee: Yes,5.690,6.2708883025505715
Spot Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.249452186870014
Echo Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.2461673236968895
Solarmax Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.243432574430823
Alberta Utility Source,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.185,6.234697446659672
Adagio Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.231972729656499
Fluent Utilities,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.189236111111111
Camrose Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.295,6.17583369423993
Sandstone Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Vector Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Ambit Energy Canada,Alberta Select 12-Month Term,Fixed Rate Plan,1-year contract,Early Exit Fee: Yes,5.690,6.2708883025505715
Spot Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.249452186870014
Echo Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.2461673236968895
Solarmax Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.243432574430823
Alberta Utility Source,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.185,6.234697446659672
Adagio Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.231972729656499
Fluent Utilities,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.189236111111111
Camrose Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.295,6.17583369423993
Sandstone Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Vector Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Ambit Energy Canada,Alberta Select 12-Month Term,Fixed Rate Plan,1-year contract,Early Exit Fee: Yes,5.690,6.2708883025505715
Spot Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.249452186870014
Echo Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.2461673236968895
Solarmax Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.243432574430823
Alberta Utility Source,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.185,6.234697446659672
Adagio Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.231972729656499
Fluent Utilities,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.189236111111111
Camrose Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.295,6.17583369423993
Sandstone Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Vector Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.272543327175156
Ambit Energy Canada,Alberta Select 12-Month Term,Fixed Rate Plan,1-year contract,Early Exit Fee: Yes,5.690,6.2708883025505715
Spot Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.249452186870014
Echo Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.2461673236968895
Solarmax Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.243432574430823
Alberta Utility Source,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.185,6.234697446659672
Adagio Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.231972729656499
Fluent Utilities,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,6.189236111111111
Camrose Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.295,6.17583369423993
